epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,764.879,1.96868,3.52169,3.86699,2.20565,0.32772,0.19737,0.14003,0.06711,0.33243,0.19737,0.12281,0.03937,2.12073,5.72057,3.9775,2.18777,0.000660714,0.000660714,0.000660714
2,1537.18,2.12449,3.4909,3.28028,2.31842,0.14123,0.19737,0.10333,0.03673,0.11865,0.13158,0.06641,0.02345,2.30494,6.46263,3.40364,2.60364,0.00119597,0.00119597,0.00119597
3,2877.27,2.19313,3.50492,2.96706,2.40482,0.09865,0.22368,0.09688,0.04517,0.11133,0.19737,0.08283,0.03085,2.2163,5.031,4.6332,2.49341,0.00159923,0.00159923,0.00159923
4,4039.68,2.06953,3.42547,2.84739,2.36559,0.20971,0.14474,0.11534,0.0382,0.19064,0.13158,0.11163,0.04207,2.28193,3.31052,3.08899,2.53184,0.001406,0.001406,0.001406
5,4719.2,2.01036,3.29544,2.62977,2.28663,0.33805,0.28947,0.2436,0.08979,0.34312,0.31579,0.25861,0.09844,2.17467,3.30375,2.76219,2.35835,0.001208,0.001208,0.001208
6,5251.51,1.96519,3.15172,2.46767,2.20362,0.34472,0.26304,0.23451,0.08964,0.34161,0.24583,0.2248,0.07358,2.02458,3.36399,2.79476,2.22866,0.00101,0.00101,0.00101
7,5737.89,1.86629,3.00542,2.33446,2.08804,0.4444,0.42105,0.39149,0.14875,0.48899,0.42815,0.4265,0.16298,1.91615,3.01864,2.38506,2.0663,0.000812,0.000812,0.000812
8,6296.3,1.78936,2.91266,2.25046,2.02183,0.41688,0.46053,0.43156,0.17346,0.50268,0.38158,0.42539,0.17046,2.01215,3.04615,2.21277,2.12413,0.000614,0.000614,0.000614
9,7433.41,1.72862,2.79933,2.14529,1.96855,0.43369,0.45348,0.4515,0.19338,0.45191,0.46053,0.46137,0.19159,1.89091,2.91931,2.08363,2.04793,0.000416,0.000416,0.000416
10,8486.05,1.69178,2.68102,2.04051,1.91923,0.51629,0.48684,0.51232,0.22792,0.58266,0.44737,0.53332,0.21032,1.90763,2.88429,1.9813,1.99706,0.000218,0.000218,0.000218
